frame_no,timestamp_s,red_absolute_x_px,red_absolute_y_px,red_relative_X_mm,red_relative_Y_mm,white_absolute_X_px,white_absolute_Y_px,white_relative_X_mm,white_relative_Y_mm
328,3.0196,228,727,-104.712,-55.5144,317,596,54.9738,210.9948
329,3.0363,228,722,-104.712,-42.4254,325,597,75.9162,208.377
330,3.053,228,717,-104.712,-29.3364,327,599,81.1518,203.1414
331,3.0697,227,712,-107.3298,-16.2474,326,600,78.534,200.5236
332,3.0864,225,707,-112.5654,-3.1584,317,602,54.9738,195.288
333,3.1031,226,703,-109.9476,7.3128,321,603,65.445,192.6702
334,3.1197,226,698,-109.9476,20.4018,316,605,52.356,187.4346
335,3.1364,226,694,-109.9476,30.873,318,608,57.5916,179.5812
336,3.1531,225,689,-112.5654,43.962,321,611,65.445,171.7277
337,3.1698,224,685,-115.1832,54.4332,317,613,54.9738,166.4921
338,3.1865,225,681,-112.5654,64.9045,318,613,57.5916,166.4921
339,3.2032,225,677,-112.5654,75.3757,317,615,54.9738,161.2565
340,3.2198,225,673,-112.5654,85.8469,318,620,57.5916,148.1675
341,3.2365,225,669,-112.5654,96.3181,326,622,78.534,142.9319
342,3.2532,225,665,-112.5654,106.7893,317,625,54.9738,135.0785
343,3.2699,225,662,-112.5654,114.6427,317,626,54.9738,132.4607
344,3.2866,225,659,-112.5654,122.4961,318,630,57.5916,121.9895
345,3.3032,224,656,-115.1832,130.3495,318,632,57.5916,116.7539
346,3.3199,224,653,-115.1832,138.2029,329,635,86.3874,108.9005
347,3.3366,223,650,-117.801,146.0563,318,640,57.5916,95.8115
348,3.3533,223,647,-117.801,153.9097,327,643,81.1518,87.9581
349,3.37,222,645,-120.4188,159.1453,319,648,60.2094,74.8691
350,3.3867,222,642,-120.4188,166.9987,319,651,60.2094,67.0157
351,3.4034,222,640,-120.4188,172.2343,320,654,62.8272,59.1623
352,3.42,222,638,-120.4188,177.4699,327,651,81.1518,67.0157
353,3.4367,221,636,-123.0366,182.7055,320,651,62.8272,67.0157
354,3.4534,222,634,-120.4188,187.9411,328,648,83.7696,74.8691
355,3.4701,222,632,-120.4188,193.1767,321,643,65.445,87.9581
356,3.4868,222,630,-120.4188,198.4123,330,644,89.0052,85.3403
357,3.5035,222,629,-120.4188,201.0301,329,642,86.3874,90.5759
358,3.5201,221,628,-123.0366,203.6479,320,639,62.8272,98.4293
359,3.5368,221,627,-123.0366,206.2657,321,637,65.445,103.6649
360,3.5535,221,626,-123.0366,208.8835,328,631,83.7696,119.3717
361,3.5702,221,625,-123.0366,211.5013,320,636,62.8272,106.2827
362,3.5869,220,625,-125.6545,211.5013,321,631,65.445,119.3717
363,3.6035,221,624,-123.0366,214.1191,322,632,68.0628,116.7539
364,3.6202,221,624,-123.0366,214.1191,321,626,65.445,132.4607
365,3.6369,221,624,-123.0366,214.1191,320,630,62.8272,121.9895
366,3.6536,220,623,-125.6545,216.7369,329,629,86.3874,124.6073
367,3.6703,220,623,-125.6545,216.7369,320,624,62.8272,137.6963
368,3.687,220,623,-125.6545,216.7369,320,623,62.8272,140.3141
369,3.7037,221,624,-123.0366,214.1191,321,622,65.445,142.9319
370,3.7203,220,624,-125.6545,214.1191,330,626,89.0052,132.4607
371,3.737,219,625,-128.2723,211.5013,322,626,68.0628,132.4607
372,3.7537,220,626,-125.6545,208.8835,321,626,65.445,132.4607
373,3.7704,220,627,-125.6545,206.2657,321,622,65.445,142.9319
374,3.7871,220,628,-125.6545,203.6479,323,622,70.6806,142.9319
375,3.8038,219,629,-128.2723,201.0301,323,622,70.6806,142.9319
376,3.8204,219,630,-128.2723,198.4123,329,626,86.3874,132.4607
377,3.8371,219,632,-128.2723,193.1767,323,624,70.6806,137.6963
378,3.8538,219,634,-128.2723,187.9411,323,623,70.6806,140.3141
379,3.8705,219,635,-128.2723,185.3233,323,624,70.6806,137.6963
380,3.8872,219,637,-128.2723,180.0877,323,625,70.6806,135.0785
381,3.9038,219,639,-128.2723,174.8521,323,626,70.6806,132.4607
382,3.9205,218,642,-130.8901,166.9987,329,627,86.3874,129.8429
383,3.9372,217,644,-133.5079,161.7631,325,628,75.9162,127.2251
384,3.9539,217,647,-133.5079,153.9097,321,629,65.445,124.6073
385,3.9706,217,649,-133.5079,148.6741,320,631,62.8272,119.3717
386,3.9873,217,652,-133.5079,140.8207,324,632,73.2984,116.7539
387,4.004,217,655,-133.5079,132.9673,322,636,68.0628,106.2827
388,4.0206,217,658,-133.5079,125.1139,321,638,65.445,101.0471
389,4.0373,217,662,-133.5079,114.6427,326,636,78.534,106.2827
390,4.054,216,665,-136.1257,106.7893,327,641,81.1518,93.1937
391,4.0707,216,669,-136.1257,96.3181,321,643,65.445,87.9581
392,4.0874,216,673,-136.1257,85.8469,323,643,70.6806,87.9581
393,4.1041,215,677,-138.7435,75.3757,321,643,65.445,87.9581
394,4.1207,215,681,-138.7435,64.9045,324,650,73.2984,69.6335
395,4.1374,215,685,-138.7435,54.4332,325,650,75.9162,69.6335
396,4.1541,215,689,-138.7435,43.962,325,654,75.9162,59.1623
397,4.1708,215,694,-138.7435,30.873,323,653,70.6806,61.7801
398,4.1875,215,699,-138.7435,17.784,324,651,73.2984,67.0157
399,4.2041,214,703,-141.3613,7.3128,323,649,70.6806,72.2513
400,4.2208,214,708,-141.3613,-5.7762,325,646,75.9162,80.1047
401,4.2375,214,714,-141.3613,-21.483,323,647,70.6806,77.4869
402,4.2542,214,719,-141.3613,-34.572,327,646,81.1518,80.1047
403,4.2709,213,724,-143.9791,-47.661,323,645,70.6806,82.7225
404,4.2876,213,730,-143.9791,-63.3678,323,645,70.6806,82.7225
405,4.3043,213,735,-143.9791,-76.4568,325,644,75.9162,85.3403
406,4.3209,213,741,-143.9791,-92.1636,324,644,73.2984,85.3403
407,4.3376,213,747,-143.9791,-107.8704,325,642,75.9162,90.5759
408,4.3543,212,752,-146.5969,-120.9594,324,642,73.2984,90.5759
409,4.371,213,755,-143.9791,-128.8128,326,642,78.534,90.5759
410,4.3877,212,752,-146.5969,-120.9594,326,642,78.534,90.5759
411,4.4044,212,749,-146.5969,-113.106,326,642,78.534,90.5759
412,4.421,211,747,-149.2147,-107.8704,328,642,83.7696,90.5759
413,4.4377,212,744,-146.5969,-100.017,326,642,78.534,90.5759
414,4.4544,211,742,-149.2147,-94.7814,326,643,78.534,87.9581
415,4.4711,210,739,-151.8325,-86.928,327,643,81.1518,87.9581
416,4.4878,210,737,-151.8325,-81.6924,326,643,78.534,87.9581
417,4.5044,209,735,-154.4503,-76.4568,327,644,81.1518,85.3403
418,4.5211,210,733,-151.8325,-71.2212,327,645,81.1518,82.7225
419,4.5378,210,732,-151.8325,-68.6034,327,647,81.1518,77.4869
420,4.5545,209,730,-154.4503,-63.3678,329,648,86.3874,74.8691
421,4.5712,208,729,-157.0681,-60.75,327,649,81.1518,72.2513
422,4.5879,208,728,-157.0681,-58.1322,329,650,86.3874,69.6335
423,4.6046,207,726,-159.6859,-52.8966,329,651,86.3874,67.0157
424,4.6212,207,725,-159.6859,-50.2788,328,651,83.7696,67.0157
425,4.6379,206,725,-162.3037,-50.2788,328,651,83.7696,67.0157
426,4.6546,206,724,-162.3037,-47.661,329,650,86.3874,69.6335
427,4.6713,205,723,-164.9215,-45.0432,329,649,86.3874,72.2513
428,4.688,204,723,-167.5393,-45.0432,328,649,83.7696,72.2513
429,4.7047,204,723,-167.5393,-45.0432,330,648,89.0052,74.8691
430,4.7213,203,723,-170.1571,-45.0432,331,648,91.623,74.8691
431,4.738,203,723,-170.1571,-45.0432,331,647,91.623,77.4869
432,4.7547,203,723,-170.1571,-45.0432,331,647,91.623,77.4869
433,4.7714,202,723,-172.7749,-45.0432,331,647,91.623,77.4869
434,4.7881,201,724,-175.3927,-47.661,329,647,86.3874,77.4869
435,4.8047,201,725,-175.3927,-50.2788,335,648,102.0942,74.8691
436,4.8214,201,726,-175.3927,-52.8966,335,648,102.0942,74.8691
437,4.8381,199,726,-180.6283,-52.8966,328,648,83.7696,74.8691
438,4.8548,199,727,-180.6283,-55.5144,333,649,96.8586,72.2513
439,4.8715,198,728,-183.2461,-58.1322,333,649,96.8586,72.2513
440,4.8882,199,730,-180.6283,-63.3678,333,650,96.8586,69.6335
441,4.9049,198,732,-183.2461,-68.6034,334,650,99.4764,69.6335
442,4.9215,197,734,-185.8639,-73.839,329,651,86.3874,67.0157
